Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
578,Tron,Action,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Joseph Kosinski,Jeff Bridges,2010,125,6.8,273959,172.05,49
579,The Hunger Games: Catching Fire,Action,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Francis Lawrence,Jennifer Lawrence,2013,146,7.6,525646,424.65,76
580,All Good Things,Crime,Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982 but the truth is eventually revealed.,Andrew Jarecki,Ryan Gosling,2010,101,6.3,44158,0.58,57
581,Kickboxer: Vengeance,Action,A kick boxer is out to avenge his brother.,John Stockwell,Dave Bautista,2016,90,4.9,6809,131.56,37
582,The Last Airbender,Action,Follows the adventures of Aang a young successor to a long line of Avatars who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.,M. Night Shyamalan,Noah Ringer,2010,103,4.2,125129,0.5,20
583,Sex Tape,Comedy,A married couple wake up to discover that the sex tape they made the evening before has gone missing leading to a frantic search for its whereabouts.,Jake Kasdan,Jason Segel,2014,94,5.1,89885,38.54,36
584,What to Expect When You're Expecting,Comedy,Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby and realize that no matter what you plan for life does not always deliver what is expected.,Kirk Jones,Cameron Diaz,2012,110,5.7,60059,41.1,41
585,Moneyball,Biography,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,Brad Pitt,2011,133,7.6,297395,75.61,87
586,Ghost Rider,Action,Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante to fight against power hungry Blackheart the son of the devil himself.,Mark Steven Johnson,Nicolas Cage,2007,114,5.2,190673,115.8,35
587,Unbroken,Biography,After a near-fatal plane crash in WWII Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.,Angelina Jolie,Jack O'Connell,2014,137,7.2,114006,115.6,59
588,Immortals,Action,Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion who is on a rampage across Greece to obtain a weapon that can destroy humanity.,Tarsem Singh,Henry Cavill,2011,110,6,142900,83.5,46
589,Sunshine,Adventure,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Danny Boyle,Cillian Murphy,2007,107,7.3,199860,3.68,64
590,Brave,Animation,Determined to make her own path in life Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish Merida must rely on her bravery and her archery skills to undo a beastly curse.,Mark Andrews,Kelly Macdonald,2012,93,7.2,293941,237.28,69
591,Män som hatar kvinnor,Drama,A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.,Niels Arden Oplev,Michael Nyqvist,2009,152,7.8,182074,10.1,76
592,Adoration,Drama,A pair of childhood friends and neighbors fall for each other's sons.,Anne Fontaine,Naomi Watts,2013,112,6.2,25208,0.32,37
593,The Drop,Crime,Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends families and foes all work together to make a living - no matter the cost.,Michaël R. Roskam,Tom Hardy,2014,106,7.1,116118,10.72,69
594,She's the Man,Comedy,When her brother decides to ditch for a couple weeks Viola heads over to his elite boarding school disguised as him and proceeds to fall for one of his soccer teammates and soon learns she's not the only one with romantic troubles.,Andy Fickman,Amanda Bynes,2006,105,6.4,122864,2.34,45
595,Daddy's Home,Comedy,Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father Dusty Mayron returns.,Sean Anders,Will Ferrell,2015,96,6.1,68306,150.32,42
596,Let Me In,Drama,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,Matt Reeves,Kodi Smit-McPhee,2010,116,7.2,97141,12.13,79
597,Never Back Down,Action,A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,Jeff Wadlow,Sean Faris,2008,110,6.6,84083,24.85,39
598,Grimsby,Action,A new assignment forces a top spy to team up with his football hooligan brother.,Louis Leterrier,Sacha Baron Cohen,2016,83,6.2,63408,6.86,44
599,Moon,Drama,Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon where he working alongside his computer GERTY sends back to Earth parcels of a resource that has helped diminish our planet's power problems.,Duncan Jones,Sam Rockwell,2009,97,7.9,277123,5.01,67
600,Megamind,Animation,The supervillain Megamind finally defeats his nemesis the superhero Metro Man. But without a hero he loses all purpose and must find new meaning to his life.,Tom McGrath,Will Ferrell,2010,95,7.3,183926,148.34,63
601,Gangster Squad,Action,It's 1949 Los Angeles the city is run by gangsters and a malicious mobster Mickey Cohen. Determined to end the corruption John O'Mara assembles a team of cops ready to take down the ruthless leader and restore peace to the city.,Ruben Fleischer,Sean Penn,2013,113,6.7,181432,46,40
602,Blood Father,Action,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,Jean-François Richet,Mel Gibson,2016,88,6.4,40357,93.95,66
603,He's Just Not That Into You,Comedy,The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,Ken Kwapis,Jennifer Aniston,2009,129,6.4,137684,0.5,47
604,Kung Fu Panda 3,Animation,Continuing his ""legendary adventures of awesomeness"" Po must face two hugely epic but different threats: one supernatural and the other a little closer to his home.,Alessandro Carloni,Jack Black,2016,95,7.2,89791,143.52,66
